"Column Name","Description"
"""""","This appears to be an index column, likely automatically generated when the data was created or exported, and doesn't contain meaningful data."
"""X""","Another index column, similar to the first one, likely redundant and without specific meaning."
"permno","A unique, permanent identification number assigned to each stock in the CRSP (Center for Research in Security Prices) database."
"DATE","The date for the observation, in the format YYYYMMDD."
"mvel1","Market value of equity at the beginning of the month."
"beta","The stock's beta, a measure of its volatility relative to the market."
"betasq","The square of the stock's beta."
"chmom","Change in momentum, measuring the stock's recent price trend."
"dolvol","Dollar volume of trading activity for the stock."
"idiovol","Idiosyncratic volatility, representing the stock's volatility that is not explained by market movements."
"indmom","Industry momentum, measuring the average performance of the stock's industry."
"mom1m","One-month momentum, the stock's return over the past month."
"mom6m","Six-month momentum, the stock's return over the past six months."
"mom12m","Twelve-month momentum, the stock's return over the past twelve months."
"mom36m","Thirty-six month momentum, the stock's return over the past 36 months."
"pricedelay","Measures the delay in a stock's price reaction to market-wide information."
"turn","Turnover rate, the proportion of a company's shares that change hands over a period."
"absacc","Absolute value of accruals, a measure of earnings quality."
"acc","Accruals, the non-cash component of earnings."
"age","The age of the company since its first appearance in the CRSP database, measured in years."
"agr","Asset growth, the change in total assets."
"bm","Book-to-market ratio, the ratio of a company's book value to its market value."
"bm_ia","Book-to-market interacted with industry-adjusted assets."
"cashdebt","Ratio of cash and short-term investments to total debt."
"cashpr","Cash productivity, measuring how efficiently a company generates cash from its assets."
"cfp","Cash flow to price ratio."
"cfp_ia","Cash flow to price interacted with industry-adjusted assets."
"chatoia","Change in total assets to industry assets."
"chcsho","Change in common shares outstanding."
"chempia","Change in employees to industry assets."
"chinv","Change in inventory."
"chpmia","Change in property, plant, and equipment to industry assets."
"convind","An indicator variable for convertible debt."
"currat","Current ratio, a liquidity ratio measuring a company's ability to pay short-term obligations."
"depr","Depreciation expense."
"divi","Indicator variable for cash dividend initiation."
"divo","Indicator variable for cash dividend omission."
"dy","Dividend yield, the ratio of a company's dividend to its share price."
"egr","Earnings growth rate."
"ep","Earnings to price ratio."
"gma","Gross profit margin."
"grcapx","Growth rate of capital expenditures."
"grltnoa","Growth rate of long-term net operating assets."
"herf","Herfindahl index, a measure of market concentration in the company's industry."
"hire","Growth rate of employees."
"invest","Investment rate, measuring a company's capital expenditures."
"lev","Leverage ratio, measuring the extent to which a company is financed by debt."
"lgr","Growth rate of sales."
"mve_ia","Market value of equity interacted with industry-adjusted assets."
"operprof","Operating profitability."
"orgcap","Organizational capital."
"pchcapx_ia","Percentage change in capital expenditures to industry assets."
"pchcurrat","Percentage change in the current ratio."
"pchdepr","Percentage change in depreciation expense."
"pchgm_pchsale","Percentage change in gross margin minus percentage change in sales."
"pchquick","Percentage change in quick ratio."
"pchsale_pchinvt","Percentage change in sales minus percentage change in inventory."
"pchsale_pchrect","Percentage change in sales minus percentage change in receivables."
"pchsale_pchxsga","Percentage change in sales minus percentage change in selling, general, and administrative expenses."
"pchsaleinv","Percentage change in sales to inventory ratio."
"pctacc","Percentage accruals, accruals scaled by average assets."
"ps","Price-to-sales ratio."
"quick","Quick ratio, a liquidity ratio that excludes inventory from current assets."
"rd","Research and development expense."
"rd_mve","Research and development expense scaled by market value of equity."
"rd_sale","Research and development expense scaled by sales."
"realestate","Indicator variable for real estate firms."
"roic","Return on invested capital."
"salecash","Sales scaled by cash and short-term investments."
"saleinv","Sales scaled by inventory."
"salerec","Sales scaled by receivables."
"secured","Indicator variable for secured debt."
"securedind","Indicator variable for secured debt interacted with industry."
"sgr","Sustainable growth rate."
"sin","Indicator variable for sin stocks (alcohol, tobacco, gambling)."
"sp","Sales to property, plant, and equipment ratio."
"tang","Tangibility, the ratio of net property, plant, and equipment to total assets."
"tb","Tax burden."
"aeavol","Aggregate equity abnormal volume."
"cash","Cash and short-term investments."
"chtx","Change in income tax expense."
"cinvest","Capital investment."
"ear","Earnings acceleration rate."
"nincr","Net inventory change ratio."
"roaq","Return on assets using quarterly data."
"roavol","Return on assets volatility."
"roeq","Return on equity using quarterly data."
"rsup","Revenue surprise."
"stdacc","Standard deviation of accruals."
"stdcf","Standard deviation of cash flows."
"ms","Market share."
"baspread","Bid-ask spread."
"ill","Illiquidity measure."
"maxret","Maximum daily return during the month."
"retvol","Return volatility."
"std_dolvol","Standard deviation of dollar volume."
"std_turn","Standard deviation of turnover."
"zerotrade","Percentage of zero-trade days during the month."
"sic2","Two-digit Standard Industrial Classification code, indicating the company's primary industry."
"return","Monthly return for the stock."
"price","The stock's price at the end of the month."
